Time stamp(sec),adc1,adc2
0.04981860000407323,0.008661570027470589,0.002038016449660063
0.0,0.006376894656568766,0.0015304547268897295
0.0,0.008471321314573288,0.0017969468608498573
0.0,0.007450846489518881,0.0010277029359713197
0.0,0.007484487257897854,0.0016038187313824892
0.0,0.007770759519189596,0.0007770759402774274
0.0,0.008996703661978245,0.0021810191683471203
0.0,0.008852312341332436,0.002213078085333109
0.0,0.007840928621590137,0.00126466597430408
0.0,0.00762654235586524,0.0005259684403426945
0.0,0.009196415543556213,0.0023647926282137632
0.0,0.007341118063777685,0.0005243655759841204
0.0,0.0073699951171875,0.000789642333984375
0.0,0.005255094729363918,0.0013137736823409796
0.0,0.008887132629752159,0.0031366348266601562
0.0,0.007315639406442642,0.0013063640799373388
0.0,0.00782121904194355,0.0010428292443975806
0.0,0.007357132621109486,0.0013137736823409796
0.0,0.007623213808983564,0.0010514777386561036
0.0,0.009176397696137428,0.002621827879920602
0.05004160001408309,0.007740153465420008,0.0004993647453375161
0.0,0.008534758351743221,0.001600267132744193
0.0,0.009471568278968334,0.0015785947907716036
0.0,0.007803746033459902,0.001345473458059132
0.0,0.00745031563565135,0.0009933754336088896
0.0,0.007561680860817432,0.0008101800922304392
0.0,0.008844904601573944,0.0015608654357492924
0.0,0.007604582700878382,0.0017171638319268823
0.0,0.007511734031140804,0.0015541518805548549
0.0,0.008670906536281109,0.0010510189458727837
0.0,0.007889526896178722,0.001051936880685389
0.0,0.0076033007353544235,0.001573096727952361
0.0,0.007889526896178722,0.001051936880685389
0.0,0.007892973721027374,0.0007892973953858018
0.0,0.008163205347955227,0.0007899876218289137
0.0,0.009204447269439697,0.0026298421435058117
0.0,0.00762654235586524,0.0007889526896178722
0.0,0.009208469651639462,0.0028940902557224035
0.0,0.007892973721027374,0.0010523964883759618
0.0,0.007629874628037214,0.0010523964883759618
0.050182799983303994,0.00846725981682539,0.0007938055787235498
0.0,0.009244222193956375,0.0010875555453822017
0.0,0.006905220914632082,0.000986460130661726
0.0,0.007844222709536552,0.002024315530434251
0.0,0.007743363734334707,0.001248929649591446
0.0,0.0077636041678488255,0.0008318147156387568
0.0,0.007292184978723526,0.0007543639512732625
0.0,0.007993035949766636,0.0005512438365258276
0.0,0.00916442833840847,0.0026184082962572575
0.0,0.009168414399027824,0.0028815018013119698
0.0,0.007344315759837627,0.0010491879656910896
0.0,0.006837589666247368,0.0007889526896178722
0.0,0.007879205048084259,0.001050560618750751
0.0,0.007875769399106503,0.0010501026408746839
0.0,0.008141844533383846,0.0013132008025422692
0.0,0.008152510970830917,0.002103873761370778
0.0,0.00866712536662817,0.002101121237501502
0.0,0.008419171907007694,0.0013154955813661218
0.0,0.008163205347955227,0.0013166461139917374
0.0,0.008152510970830917,0.0013149210717529058
0.05031339998822659,0.007267504930496216,0.001211250782944262
0.0,0.009190283715724945,0.0010812098626047373
0.0,0.007225810084491968,0.0004983317339792848
0.0,0.009081754833459854,0.0028380483854562044
0.0,0.008108412846922874,0.001719966297969222
0.0,0.007944361306726933,0.0010250789346173406
0.0,0.007454708218574524,0.0005324791418388486
0.0,0.007983657531440258,0.0015967313665896654
0.0,0.00798782892525196,0.0016943879891186953
0.0,0.008674691431224346,0.0023658249992877245
0.0,0.008375264704227448,0.0013086351100355387
0.0,0.008152510970830917,0.0013149210717529058
0.0,0.009459170512855053,0.0023647926282137632
0.0,0.008640746586024761,0.001832885667681694
0.0,0.006790147628635168,0.0005223190528340638
0.0,0.008328212425112724,0.001301283249631524
0.0,0.008064471185207367,0.0015608654357492924
0.0,0.004401537589728832,0.000776741886511445
0.0,0.010347660630941391,0.0025869151577353477
0.0,0.009027061052620411,0.0025791602674871683
0.05045999999856576,0.007481166161596775,0.0008015535422600806
0.0,0.007576912175863981,0.0033965467009693384
0.0,0.007952997460961342,0.0016454476863145828
0.0,0.008419387973845005,0.001238145399838686
0.0,0.007824497297406197,0.0017668220680207014
0.0,0.008105435408651829,0.0010807247599586844
0.0,0.007234789431095123,0.0007484265370294452
0.0,0.008671273477375507,0.0011188739445060492
0.0,0.009286784566938877,0.0022513417061418295
0.0,0.007629874628037214,0.0010523964883759618
0.0,0.008166776038706303,0.000790333142504096
0.0,0.007094377651810646,0.0007882642094045877
0.0,0.007848400622606277,0.0015696800546720624
0.0,0.008914214558899403,0.00235964497551322
